conceptQID,conceptName,itemDescription,fieldQID,fieldName
Q1921824,feature,term,Q169411,Unified Modeling Language
Q1921825,feature data,object in geographic information systems that can have a geographic location and other properties,Q483130,geographic information system
Q19901606,list of quick-change acts,Wikimedia list article,Q11635,theatre
Q19907873,Dokuchev soil science school,Russian scientific school,Q9161265,soil science
Q19935939,branch of geography,second-order class of geography as science,Q1071,geography
Q19938912,BnF authorities,"authority file for persons, organisations, works, topics, and geographic places, of the French National Library",Q54837,Semantic Web
Q19977811,breakdown,damage or breakage event that compromises the functioning of a system or a machine,Q1022240,failure analysis
Q10843872,process,"set of interrelated tasks that transform inputs into outputs, where the tasks may be carried out by people, nature or machines using various resources",Q184199,automation
Q10852607,SoLoMo,Term for a type of website,Q1078351,communication science
Q10854318,left-child right-sibling binary tree,type of binary tree,Q131476,graph theory
Q10856962,anthroponym,"name of a person, such as given name (first name) or surname",Q1973833,anthroponymy
Q10857933,person with disabilities,person with physical or mental disabilities that affect or limit their activities of daily living and that may require special accommodations,Q627208,disability studies
Q10858400,political corruption,use of power by government officials for illegitimate private gain,Q2101492,political ethics
Q10871621,social case work,method of social work,Q205398,social work
Q10874566,Zhongguo xiaoshuo,narrative prose in Chinese literature,Q456012,Chinese literature
Q10880526,prosody,"part of linguistics concerned with elements of speech that are not individual phonetic segments, but properties of syllables and larger units of speech",Q1078351,communication science
Q10880526,prosody,"part of linguistics concerned with elements of speech that are not individual phonetic segments, but properties of syllables and larger units of speech",Q11680831,communication studies
Q10880526,prosody,"part of linguistics concerned with elements of speech that are not individual phonetic segments, but properties of syllables and larger units of speech",Q8162,linguistics
Q741338,comparative law,study of relationship between legal systems,Q113212643,international and comparative law
Q741550,cultural relativism,principle that cultures should be understood and evaluated on their own terms and not by universal or outsider standards,Q160845,sociolinguistics
Q742139,facies,"manifestation of character, reflecting conditions of origin of rock strata",Q1069,geology
Q742609,human nature,fundamental characteristics of human beings,Q34749,social science
Q742609,human nature,fundamental characteristics of human beings,Q9418,psychology
Q742609,human nature,fundamental characteristics of human beings,Q5891,philosophy
Q742990,industrial biotechnology,a field of biotechnology that uses microorganisms and enzymes to produce industrial products,Q7108,biotechnology
Q743306,International Convention on the Elimination of All Forms of Racial Discrimination,United Nations convention and human rights instrument,Q1147615,international human rights law
Q743664,abdominal surgery,medical specialty,Q40821,surgery
Q744029,sleep medicine,medical specialty or subspecialty devoted to the diagnosis and therapy of sleep disturbances and disorders,Q1752583,somnology
Q744069,mathematical extrapolation,type of estimation where a data point beyond the original observation range is generated based on its relationship with another variable,Q395,mathematics
Q24950554,employee recognition,recognition of an employee by a supervisor,Q15783860,sociology of work
Q24950554,employee recognition,recognition of an employee by a supervisor,Q2029930,organizational studies
Q24950554,employee recognition,recognition of an employee by a supervisor,Q2920921,management
Q24964794,operations engineering,branch of engineering,Q101911126,industrial and operations engineering
Q24965430,Risk-need-responsivity model,Criminological risk assessment model,Q161733,criminology
Q25006042,prisoner reentry,process by which prisoners who have been released return to the community,Q21201,sociology
Q25006042,prisoner reentry,process by which prisoners who have been released return to the community,Q161733,criminology
Q25006042,prisoner reentry,process by which prisoners who have been released return to the community,Q205398,social work
Q25047722,strategy implementation,activities within a workplace or organisation designed to manage the activities associated with the delivery of a strategic plan,Q376657,strategic management
Q25052933,Endpoint security,"the security model around end user devices such as PCs, laptops and mobile phones",Q3510521,computer security
Q25053828,symmetry-breaking constraints,eliminating symmetries in a combinatorial problem to reduce the search space,Q1333872,combinatorial optimization
Q25091402,pediatric gynaecology,Medical Condition of Kids,Q1221899,gynaecology
Q25091402,pediatric gynaecology,Medical Condition of Kids,Q123028,pediatrics
Q25099018,neuromuscular system,neurons and muscles together as an organ system,Q420,biology
Q25099018,neuromuscular system,neurons and muscles together as an organ system,Q11190,medicine
Q25101696,pediatric neurosurgery,subspecialty of neurosurgery,Q188449,neurosurgery
Q25101906,heritage studies,academic discipline concerned with cultural heritage,Q113077601,"history, heritage and archaeology"
Q25101906,heritage studies,academic discipline concerned with cultural heritage,Q112939606,architectural heritage and conservation
Q25102376,cyber resilience,"ability to continuously deliver an intended outcome, despite adverse cyber events",Q17233037,cybersecurity
Q25109832,Catholic ecclesiology,theological study of the Catholic Church,Q223693,ecclesiology
Q25112020,smart manufacturing,Paradigm where the technology-driven approach utilizes Internet-connected machinery to monitor the production process. Its goal is to identify opportunities for automating operations and use data analytics to improve manufacturing performance.,Q1661989,Industry 4.0
Q25112248,SHELL model,Conceptual model for human error in aviation,Q9418,psychology
Q25112248,SHELL model,Conceptual model for human error in aviation,Q21201,sociology
Q25202873,Bariton,financial term,Q2294553,financial economics
Q25203551,phenotype,presentation of a disease in clinical medicine,Q4388032,clinical medicine
Q25203895,morphology,study of the evolution of form within the built environment,Q11023,engineering
Q25203895,morphology,study of the evolution of form within the built environment,Q12271,architecture
Q25220258,mineralogy of Mars,overview of the mineralogy of Mars,Q83353,mineralogy
Q25230616,fire needle acupuncture,form of acupuncture,Q121713,acupuncture
Q25303651,linear forest,forest where each component is a path graph,Q131476,graph theory
Q25303691,chordal bipartite graph,bipartite graph where every cycle of length at least 6 has a chord,Q131476,graph theory
Q25303859,Relative accessible surface area,measure of residue solvent exposure,Q7094,biochemistry
Q25303857,evolution of the cochlea,structure and functional evolution of the cochlea across species,Q420,biology
Q25304066,biclique-free graph,property in graph theory,Q131476,graph theory
Q25304407,weak heap,combination of the binary heap and binomial heap data structures for implementing priority queues,Q131476,graph theory
Q25304494,Sparse dictionary learning,Representation learning method,Q2539,machine learning
Q25304522,ghost population,inferred statistical population,Q31151,population genetics
Q25304554,Separating words problem,Problem in theoretical computer science,Q214526,automata theory
Q25304863,Frankl–Rödl graph,graph used in computational complexity theory and graph theory,Q131476,graph theory
Q25312714,language power,"measure of one's ability to communicate effectively in a given language, specifically one that is not native to the speaker",Q160845,sociolinguistics
Q25327032,Sponge grounds,deep-sea habitats formed by large accumulations of sponges,Q420,biology
Q25340364,American literature,academic discipline devoted to the study of American literature,Q470125,American studies
Q25346139,morphology,grouping of archaeological finds into period styles via their shapes,Q23498,archaeology
Q25351574,measure problem,problem in cosmology about defining a probability distribution over a multiverse,Q338,cosmology
Q25351772,aspect,"a form, persona, or disposition of a deity distinct from other personas of the same deity",Q34187,religious studies
Q25385476,Wagner's Equivalence Theorem,equivalence of four color theorem and 4-colorability of K₅-minor-free graphs,Q131476,graph theory
Q25385700,KoSIT,Coordination office for IT Standards in Germany,Q31728,public administration
Q744448,foreign policy of the United States,national foreign policy,Q330963,politics of the United States
Q745378,unit distance graph,"node-link graph of points in the plane, adjacent when their distance is exactly one",Q131476,graph theory
Q745416,Clausius–Clapeyron relation,relation between vapour pressure and temperature,Q11473,thermodynamics
Q745692,political sociology,branch of sociology,Q15831440,political studies
Q746338,Brayton cycle,thermodynamic cycle,Q11473,thermodynamics
Q746994,technology assessment,research area dealing with trends in science and technology and related social developments,Q1380539,sociotechnology
Q747534,mathematical economics,application of mathematical methods to represent theories and analyze problems in economics,Q8134,economics
Q747713,refrigeration,process of moving heat energy from one location to another in controlled conditions,Q11473,thermodynamics
Q747735,paranoid personality disorder,"mental disorder characterized by paranoia and a pervasive, long-standing suspiciousness and generalized mistrust of others",Q7867,psychiatry
Q720858,human ecology,"interdisciplinary and transdisciplinary study of the relationship between humans and their natural, social, and built environments",Q102123539,human disease ecology
Q720858,human ecology,"interdisciplinary and transdisciplinary study of the relationship between humans and their natural, social, and built environments",Q7150,ecology
Q721706,standard enthalpy of formation,"(of compound) change of enthalpy during the formation of 1 mole of the substance from its constituent elements, with all substances in their standard states, and at a pressure of 1 bar (100 kPa)",Q228736,materials science
Q722048,Baruch Kimmerling,Israeli sociologist and historian (1939–2007),Q21201,sociology
Q722659,graph property,isomorphism-invariant property of graphs,Q131476,graph theory
Q724168,Petri net,family of modelling languages for distributed systems,Q21198,computer science
Q724168,Petri net,family of modelling languages for distributed systems,Q80993,software engineering
Q724351,asexuality,sexual orientation where there is a absence of sexual attraction to anyone,Q110512905,asexual studies
Q724510,Joule–Thomson effect,temperature change of a real gas when undergoing a throttled expansion without heat transfer,Q11473,thermodynamics
Q724965,cochlear implant,prosthesis,Q189553,otolaryngology
Q6084266,Tesir,Turkish religious term,Q9174,religion
Q6092032,problem of universals,"philosophical question of whether properties exist, and if so, what they are",Q35277,metaphysics
Q6092992,Oymak,Turkish term for Turkic tribes,Q1066186,study of history
Q6101706,Mekân,Turkish term from architecture,Q12271,architecture
Q6116063,Alternative Lifting and Displacement System,Spanish term for a type of technical system,Q101333,mechanical engineering
Q6116076,SAMCo,Health promotion system in Argentina,Q31207,health care
Q6116301,STBC,technology,Q418,telecommunication
Q6126986,Shelling,Manufacturing defect that occurs on railroad tracks,Q228736,materials science
Q6126986,Shelling,Manufacturing defect that occurs on railroad tracks,Q4260703,railway engineering
Q6134791,subdivision of a graph,graph obtained by subdividing edges of another graph,Q131476,graph theory
Q6149036,decoration,any type of adornment,Q631931,decorative art
Q6151357,reproductive labor,work often associated with care giving and domestic roles,Q37732,demography
Q6151357,reproductive labor,work often associated with care giving and domestic roles,Q21201,sociology
Q6151357,reproductive labor,work often associated with care giving and domestic roles,Q8134,economics
Q6152295,triade,Process in paleontology,Q7205,paleontology
Q6160830,economic viability,"capability of developing and surviving as a relatively independent social, economic or political unit",Q8134,economics
Q6206757,job-shop scheduling,branch of discrete mathematics,Q121416,discrete mathematics
Q6305506,sign name,sign used to identify a person,Q1973833,anthroponymy
Q6322849,k-minimum spanning tree problem,computational problem,Q2878974,theoretical computer science
Q6325199,KAOS,KAOS is a goal-oriented software requirements capturing approach in requirements engineering,Q80993,software engineering
Q6339396,kT,product of the Boltzmann constant and temperature,Q11473,thermodynamics
Q6374982,Kata,An exercise in programming,Q80006,computer programming
Q6381991,Kbach,Cambodian Visual motif,Q12271,architecture
Q6411145,king's graph,graph that represents all legal moves of the king on a chessboard,Q131476,graph theory
Q6411216,radif,"rule in Persian, Turkic, and Urdu poetry",Q482,poetry
Q6413913,kinked demand,economic theory regarding oligopoly and monopolistic competition,Q8134,economics
Q733004,Kneser graph,graph representing disjointness between k-element subsets of an n-element set,Q131476,graph theory
Q736879,detritus,dead particulate organic material,Q7173,marine biology
Q737004,chemical potential,intensive physical property,Q11473,thermodynamics
Q737148,waka,type of poetry in classical Japanese literature,Q11545105,kagaku
Q737514,global change,planetary-scale changes in the Earth system,Q104180455,global change biology
Q737514,global change,planetary-scale changes in the Earth system,Q52139,climatology
Q737571,dislocation,defect in crystal,Q228736,materials science
Q739465,study of the Hebrew language,field of academic study,Q42002,Jewish studies
Q740263,inescutcheon,heraldic charge,Q18336,heraldry
Q740777,merchandising,any practice which contributes to the sale of products to a retail consumer,Q39809,marketing
Q754897,epoch,Subdivision of geological time; shorter than a period and longer than an age,Q213891,geochronology
Q754897,epoch,Subdivision of geological time; shorter than a period and longer than an age,Q134783,stratigraphy
Q754984,sound change,process of language change affecting pronunciation or sound system structure,Q190375,historical linguistics
Q756307,mean free path,average distance travelled by a moving particle between successive impacts,Q11473,thermodynamics
Q756608,Tanguts,people,Q7683174,Tangutology
Q757248,papyrology,scientific study of ancient manuscripts,Q1784169,Coptology
Q757248,papyrology,scientific study of ancient manuscripts,Q495527,classical philology
Q757248,papyrology,scientific study of ancient manuscripts,Q843909,Islamic studies
Q757248,papyrology,scientific study of ancient manuscripts,Q145903,Egyptology
Q757248,papyrology,scientific study of ancient manuscripts,Q435608,ancient history
Q757248,papyrology,scientific study of ancient manuscripts,Q26234216,demotics
Q757248,papyrology,scientific study of ancient manuscripts,Q3621186,Arabic studies
Q757248,papyrology,scientific study of ancient manuscripts,Q42002,Jewish studies
Q757248,papyrology,scientific study of ancient manuscripts,Q648154,Byzantine studies
Q757514,atmosphere,(architecture and spatial design:) sensorial qualities that a space emits,Q976962,tourism studies
Q757514,atmosphere,(architecture and spatial design:) sensorial qualities that a space emits,Q831154,architectural analytics
Q757514,atmosphere,(architecture and spatial design:) sensorial qualities that a space emits,Q23578769,urban studies
Q757514,atmosphere,(architecture and spatial design:) sensorial qualities that a space emits,Q9418,psychology
Q757514,atmosphere,(architecture and spatial design:) sensorial qualities that a space emits,Q7922,pedagogy
Q757514,atmosphere,(architecture and spatial design:) sensorial qualities that a space emits,Q132116,folkloristics
Q757514,atmosphere,(architecture and spatial design:) sensorial qualities that a space emits,Q35986,aesthetics
Q757514,atmosphere,(architecture and spatial design:) sensorial qualities that a space emits,Q5891,philosophy
Q757567,atomic,structure or a situation that can not be further decomposed / subdivided,Q2878974,theoretical computer science
Q758242,attribute,part of UML,Q169411,Unified Modeling Language
Q758243,attribute,"property (philosophy, ontology)",Q44325,ontology
Q759524,organizational structure,"in an organisation, defines how activities such as task allocation and supervision are directed towards the achievement of its aims",Q2029930,organizational studies
Q759682,task management,process of managing a task through its life cycle,Q179012,project management
Q759725,Aufhauen,German term: a term used in mining technology,Q44497,mining
Q760306,eyespot,color mark that looks somewhat like an eye,Q105582462,biology of colour
Q10566551,safety,"state of being secure from damage, injury, danger, or other non-desirable outcomes, or from causing them",Q189447,risk management
Q10566551,safety,"state of being secure from damage, injury, danger, or other non-desirable outcomes, or from causing them",Q11450377,safety science
Q10576370,Maner,Swedish term for technique and style of an artist,Q50637,art history
Q10577625,ground surface,boundary between land and atmosphere,Q9161265,soil science
Q10587194,Mockning,Cleaning urine and feces from pet stalls,Q80962,animal husbandry
Q10589866,Muamalat,part of Islamic jurisprudence,Q482752,sharia
Q10593789,NKI (Index),an index of customer satisfaction,Q39809,marketing
Q10605174,closeness to God,Degree of attachment to a deity,Q9174,religion
Q10609775,information visualization,study of visual representations of information,Q1365082,information design
Q10631642,Piktur,Swedish library science term,Q199655,library science
Q10632994,Plants,Swedish term in coinage,Q631286,numismatics
Q10637604,Pore gas,Gas that is found in the pores of soil,Q9161265,soil science
Q10638773,primary,philosophical term,Q5891,philosophy
Q10647867,Påa,Swedish term from TV and radio production,Q165650,media studies
Q10650052,Realia,term in language teaching,Q2313213,language education
Q10657315,Rotpost,Swedish term from forestry,Q38112,forestry
Q695827,Protohistory,period between prehistory and written history,Q2310752,prehistory and early history
Q695883,cetology,"branch of zoology about cetaceans (whales, dolphins, porpoises)",Q7173,marine biology
Q696169,sociocultural animation,social movement to expand familiarity with art to the masses,Q17629812,social education
Q699386,statutory corporation,"corporation created by State, varying by jurisdiction in different states",Q207892,public law
Q704747,Stefan-Boltzmann law,physical law on the emissive power of black body,Q11473,thermodynamics
Q706449,artifact,specification of a physical piece of information that is used or produced by a software development process,Q169411,Unified Modeling Language
Q706790,history of East Germany,aspect of history,Q122131,history of Germany
Q707133,Taiwanese people,citizens or residents of Taiwan,Q17149027,Taiwan studies
Q20976813,international air service,commercial activity providing air transport of passengers and freight between countries,Q178803,international trade
Q20980854,statecraft,analytical approach in political science and public administration,Q36442,political science
Q21040628,KENOM,numismatic database,Q631286,numismatics
Q21072520,green information system,use of information technologies to support sustainable practices,Q64812807,information systems studies
Q21082247,Expanded Graded Intergenerational Disruption Scale,scale measuring how much endangered or developed a language is,Q8162,linguistics
Q21083421,New Hermeneutic,movement in biblical scholarship,Q794605,biblical studies
Q21114808,Fivos Anoyanakis,Greek musicologist and music critic,Q164204,musicology
Q21125232,sparse graph,graph in which the number of edges is much lower than the maximum for its number of vertices,Q131476,graph theory
Q21159923,TErminology for the Description of DYnamics,ntology for dynamical behaviours,Q54837,Semantic Web
Q21234514,bibliometric indicator,method of bibliometric calculation,Q603441,bibliometrics
Q21402342,Helix,Bitcoin mixing service,Q43015,finance
Q21406588,confidence and supply,agreement between political parties that allows a minority party to play a part in government but is less formal than a coalition,Q7163,politics
Q21422893,pigment cell differentiation,"The process in which a relatively unspecialized cell acquires the specialized features of a pigmented cell, such as a melanocyte.",Q105582462,biology of colour
Q21484203,ostracodology,field within carcinology studying ostracods,Q420,biology
Q21505779,social and cultural anthropology,social and cultural anthropology that focuses on the social and cultural (socio-cultural) variations of humans,Q23404,anthropology
Q21572183,"modeling, virtual environments and simulation",academic field,Q21198,computer science
Q21623771,Dixit–Stiglitz model,Economic model,Q8134,economics
Q21652121,superclass,"in object-oriented programming, a class that another class inherits from",Q80006,computer programming
Q21950738,exterior space,space outside a building,Q831154,architectural analytics
Q21950738,exterior space,space outside a building,Q69883,urban planning
Q21970361,limb,apparent border or edge of the disk of a celestial body,Q333,astronomy
Q21971240,Cold War Europe,period of European history 1945–1991,Q7787,history of Europe
Q22046752,bottleneck,"in a software, what limits the performances",Q21198,computer science
Q22086861,Biblical astronomy,English royal dy,Q50056,history of astronomy
Q22093490,Archimedean graph,graph that forms the skeleton of one of the Archimedean solids,Q131476,graph theory
Q22245680,feature engineering,process that creates features for machine learning by transforming or combining existing features,Q2539,machine learning
Q22249114,presidency of François Hollande,French historical period between 2012 and 2017,Q7778,history of France
Q22296259,pigment cell development,"The process whose specific outcome is the progression of a pigment cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a pigment cell fate.",Q105582462,biology of colour
Q22296811,leucophore differentiation,"The process in which a relatively unspecialized cell acquires the specialized features of a leucophore cell. Leucophores are pigment cells derived from the neural crest. They contain uric acid or other purine crystals, deposited in stacks called leuc",Q105582462,biology of colour
Q22329035,pigment granule,"small, subcellular membrane-bounded vesicle containing pigment and/or pigment precursor molecules. Pigment granule biogenesis is poorly understood, as pigment granules are derived from multiple sources including the endoplasmic reticulum, coated ve",Q105582462,biology of colour
Q22329039,cyanosome,"tissue-specific, membrane-bounded cytoplasmic organelle within which an unknown blue pigment is localized. Cyanosomes are synthesized in cyanophores and are blue in appearance",Q105582462,biology of colour
Q27826761,variable-mass system,collection of matter whose mass varies with time,Q4389316,rocket dynamics
Q27861737,citation index,index of citation frequency,Q603441,bibliometrics
Q27889470,Hajós' conjecture,conjecture in graph theory,Q131476,graph theory
Q27925213,time series model,statistical models that learn and predict with respect to time,Q11850042,time series analysis
Q27966476,side sinister,"vertical band issuant from the sinister side, in heraldry",Q18336,heraldry
Q28024484,tribal relations,relationship between nations including at least one tribe,Q610018,foreign relations
Q28050016,sinister canton,heraldic charge,Q18336,heraldry
Q28060026,history of Western Europe,"Aspect of history, focusing on Western Europe.",Q7787,history of Europe
Q28109781,philosophical problem,disputed or unresolved question in field of philosophy,Q5891,philosophy
Q28129985,Power-knowledge,Sociology-Power Knowledge,Q5891,philosophy
Q28135234,Process management,concept in project management,Q179012,project management
Q28209496,remdesivir,chemical compound and antiviral drug,Q11190,medicine
Q28324961,artificial intelligence in healthcare,use of complex algorithms and software to approximate human cognition in the analysis of complicated medical data,Q11190,medicine
Q28401531,Lexicase,theory in linguistics proposed by Stanley Starosta,Q8162,linguistics
Q28402643,immuno-psychiatry,discipline that studies the connection between the brain the immune system,Q7867,psychiatry
Q18418842,information behavior,how people find information,Q16387,information science
Q18419461,didactic sequence,series of interconnected pedagogical activities,Q352842,teaching
Q18433798,Heraldic imperial crown,emperor's crown used in heraldry,Q18336,heraldry
Q18478537,ecological environment,ecological components (both abiotic and biotic) that encompass a specific geographical area,Q7150,ecology
Q18482565,genocide of Indigenous peoples of the Americas,"genocide of Amerindian peoples in North America, Central America, South America, and the Caribbean",Q108352346,indigenous studies
Q18482565,genocide of Indigenous peoples of the Americas,"genocide of Amerindian peoples in North America, Central America, South America, and the Caribbean",Q28617,Latin American studies
Q18482565,genocide of Indigenous peoples of the Americas,"genocide of Amerindian peoples in North America, Central America, South America, and the Caribbean",Q27752,Native American studies
Q18482565,genocide of Indigenous peoples of the Americas,"genocide of Amerindian peoples in North America, Central America, South America, and the Caribbean",Q85710429,Caribbean studies
Q18482565,genocide of Indigenous peoples of the Americas,"genocide of Amerindian peoples in North America, Central America, South America, and the Caribbean",Q4676302,Canadian studies
Q18533485,lattice theory,branch of mathematics that studies order-theoretic lattices,Q121416,discrete mathematics
Q18534251,Cheek teeth,Mastozoology,Q10818163,vertebrate anatomy
Q18555242,inner ear disease,human disease,Q189553,otolaryngology
Q18557904,ear neoplasms,uncontrolled cellular proliferation of the auditory organs,Q189553,otolaryngology
Q18557904,ear neoplasms,uncontrolled cellular proliferation of the auditory organs,Q162555,oncology
Q18564125,business management,academic discipline,Q101802668,business administration and personnel management
Q18593264,item of collection or exhibition,"defines an item, such as an object or document, that is a member of a collection or part of a repository",Q2668072,collection
Q18635431,OpenStreetMap Wiki,official wiki gathering mapping guidelines and explaining recommended tag usage for the OpenStreetMap project,Q54837,Semantic Web
Q30559504,government office,central department under the control of a government,Q31728,public administration
Q30592245,penny graph,contact graph of unit circles,Q131476,graph theory
Q30676252,democratic backsliding,political phenomenon where liberal democracies gradually become illiberal and authoritarian,Q36442,political science
Q30694209,line perfect graph,graph whose line graph is perfect,Q131476,graph theory
Q30708491,fragmentology,study of manuscript fragments,Q1338164,codicology
Q30716015,equivalence test,tool used to draw statistical inferences from observed data,Q745328,mathematical statistics
Q30765484,graph radius,the minimum graph eccentricity of any graph vertex in a graph,Q131476,graph theory
Q30892994,physiological process,"process of the vital activity of the organism, ensuring its integrity and adaptive reactions",Q521,physiology
Q30904398,Francisco Javier Toloza Fuentes,"political scientist, sociologist, politician, teacher, social activist",Q36442,political science
Q31044671,lobid,lobid is a website that provides access to different data sets particularly relevant to libraries in German-speaking countries,Q54837,Semantic Web
Q31060267,spiracle,opening in the exoskeletons of some arthropods,Q2684571,insect anatomy
Q31087633,health difference,type of social difference,Q1643441,socioeconomics
Q31197572,Kavod HaBriyot,concept of Halakha (Jewish law) originating in the Talmud,Q107427,Halakha
Q31386861,RDF graph,a set of RDF triples,Q131476,graph theory
Q31754571,Thingyan rice,traditional Mon dish of Myanmar,Q1637030,food science
Q31836481,multimedia computing,field of research,Q113212481,computer vision and multimedia computation
Q31837702,Geodesy and Geoinformatics,field of study at university/college/institute/academy,Q106387954,earth science studies
Q33002955,knowledge graph,information repository structured as a graph,Q21198,computer science
Q33026675,Byzantine Art History,Art historical branch of Byzantine Studies; partially independent field of study,Q648154,Byzantine studies
Q33059434,biochemical reaction,Term from the Systems Biology Ontology,Q7094,biochemistry
Q760765,potential temperature,temperature that a fluid would attain if adiabatically brought to a standard reference pressure,Q11473,thermodynamics
Q761179,virtual temperature,temperature of dry air parcels that have a total pressure and density equal to a moist parcel of air,Q11473,thermodynamics
Q761631,clique,subset of the vertices of a node-link graph that are all adjacent to each other,Q131476,graph theory
Q762151,insect leg,limb,Q2684571,insect anatomy
Q762702,technological change,"process of invention, innovation and diffusion of technology or processes",Q174165,innovation
Q762702,technological change,"process of invention, innovation and diffusion of technology or processes",Q10660901,general economics
Q762702,technological change,"process of invention, innovation and diffusion of technology or processes",Q11016,technology
Q763631,textile design,"creation of designs for the manufacturing of woven, knitted or printed fabrics",Q97338598,Studies of Clothings and Textiles
Q763978,Lazarus taxon,"taxon that disappears for one or more periods from the fossil record, only to appear again later;likewise in conservation biology and ecology, it can refer to species or populations that were thought to be extinct, and are rediscovered",Q641498,conservation biology
Q764285,chemical property,"any of a substance's properties that becomes evident during, or after, a chemical reaction",Q228736,materials science
Q764285,chemical property,"any of a substance's properties that becomes evident during, or after, a chemical reaction",Q2329,chemistry
Q764912,British literature,literary works published in Great Britain or by British writers,Q112939639,British and Irish literature
Q765822,underwater archaeology,archaeology of underwater sites and artifacts,Q23498,archaeology
Q766445,Okinawa Prefecture,prefecture of Japan,Q11139382,Okinawanology
Q768387,5-cube,5-dimensional hypercube,Q131476,graph theory
Q768716,Andrásfai graph,type of graphs,Q131476,graph theory
Q769571,Manufacturing resource planning,Process of production planning and control,Q2043282,business administration
Q770723,auxiliary science of history,scholarly disciplines which help evaluate and use historical sources and are seen as auxiliary for historical research,Q1066186,study of history
Q771035,traditional medicine,medicine based on traditional beliefs,Q113191939,"traditional, complementary and integrative medicine"
Q771220,phytogeography,branch of biogeography concerned with the geographic distribution of plant species,Q1456948,geobotany
Q771405,South Asia,southern region of Asia,Q105397778,South Asia studies
Q33104069,political concept,"idea, theory, or notion primarily discussed in a political science and/or politics context",Q36442,political science
Q33109310,cataloger,librarian or library worker who catalogs library materials and creates or maintains metadata,Q199655,library science
Q33134782,Tillyardembiidae,extinct family of insects,Q3361737,paleoentomology
Q33260112,handwriting style,style of handwritten document,Q179957,palaeography
Q33548770,Prevalence and correlates of helminth co-infection in Kenyan HIV-1 infected adults.,scientific article,Q11190,medicine
Q28402829,Millennial whoop,musical vocal effect extensively used in 2010s pop music,Q638,music
Q28403288,homelessness service,activity to provide for needs of unhoused persons,Q2305240,social work science
Q28455823,modular graph,"in graph theory, an undirected graph in which every three vertices x, y, and z have at least one median vertex m(x, y, z) that belongs to shortest paths between each pair of x, y, and z",Q131476,graph theory
Q28456301,linear infrastructure intrusions,"intrusions into natural ecosystems, man-made linear infrastructure such as roads and highways, electric power lines etc",Q7150,ecology
Q28530079,observable universe,part of any universe instance observable from any particular location in it,Q338,cosmology
Q28549649,Maternal Mortality and Morbidity Task Force,long-term research team in Texas; part of Department of State Health Services,Q1137608,health administration
Q28575007,theory of differential equations,area of mathematics that deals with theory of differential equations and solutions to them,Q7754,mathematical analysis
Q28600291,social expectation,"expectation about the behavior or performance of another person, expressed to that person",Q21201,sociology
Q28706350,Morvan,"the intersection of two peneplains, at least one of which is tilted",Q52107,physical geography
Q28713722,Finalis,term in maqam music theory,Q193544,music theory
Q28770433,MARCXML,derivative of Machine-Readable Cataloging,Q722609,MARC standards
Q28777634,set of non-negative integers,the set of positive integers and zero,Q395,mathematics
Q28778386,fishing and aquaculture,economic activity,Q1420050,fisheries science
Q28778432,Cunningham's Law,"law that affirms that the best way to get the right answer on the Internet is not to ask a question, but to post the wrong answer",Q9418,psychology
Q28778432,Cunningham's Law,"law that affirms that the best way to get the right answer on the Internet is not to ask a question, but to post the wrong answer",Q21201,sociology
Q28789383,constitutive theory of statehood,theory in international law according to which a state only exists if it is recognised by other states,Q4394526,international law
Q28807008,bar mitzvah,"Jewish coming-of-age ceremony/celebration, typically for a 13-year-old boy",Q208365,ethnomusicology
Q28842003,emergent quantum mechanics,research program that explores the possibility of an ontology for quantum mechanics,Q413,physics
Q28843570,chemical system,"system, whose parts interact chemically with each other",Q2329,chemistry
Q28859691,Proof of the Truthful,Proof of the Truthful is an Islamic ontological/cosmological argument for the existence of God.,Q193104,Islamic philosophy
Q28913539,history of Judaism,history of the Abrahamic religion Judaism,Q846742,history of religions
Q28920044,positive integer,integer greater than zero; natural number explicitly excluding zero,Q395,mathematics
Q28920908,history of fashion design,history of fashion houses and designers,Q29583,fashion design
Q6014400,İntak,Turkish term from literary studies,Q208217,literary studies
Q6015396,Mevzu,Turkish-Islamic term,Q234343,hadith
Q6016881,DMEDI,design method,Q82604,design
Q6017127,minimum viable product,prototype safe for public use,Q1395034,new product development
Q6017261,Qassam,Court official in Islamic law,Q482752,sharia
Q6017365,Medula,Establishment in the Turkish healthcare,Q31207,health care
Q6018283,Salgun,economic term in the Ottoman Empire,Q8134,economics
Q6020554,Tenör,Turkish term from mining,Q44497,mining
Q6021318,Miskin,Turkish term for poverty,Q21201,sociology
Q6026472,Tariz,Turkish technical term of literary studies,Q208217,literary studies
Q6027240,induced subgraph isomorphism problem,NP-complete decision problem that involves finding a given graph as an induced subgraph of a larger graph,Q131476,graph theory
Q6027324,transfer learning,research problem in machine learning (ML) that focuses on storing knowledge gained while solving one problem and applying it to a different but related problem,Q2539,machine learning
Q6031046,information cycle,pattern of media popularity versus time,Q165650,media studies
Q6031064,information exchange,transfer of information between entities,Q11680831,communication studies
Q6031064,information exchange,transfer of information between entities,Q83966,communication theory
Q6036771,Input/output completion port,API for performing multiple simultaneous asynchronous input/output operations in Windows NT,Q11661,information technology
Q6038653,Installed base,number of units of a product or service in use,Q39072,microeconomics
Q6039054,Sapma,Turkish technical term of aviation,Q765633,aviation
